	text	label1	label2	label3	filename
784	simlac 2 hmo e net 900 abbott lượng plus kháng lutein nhiên e dha hmo, não sức	abbott	similac iq	similac gain plus iq 2	all_crop_data/abbott/similac_iq/similac_gain_plus_iq_2/0049.jpg
660	similac 1 abbott 400g newborn hmo plus kháng phẩm lutein tịnh dha nhiên 2'-fl giúp dưỡng	abbott	similac 1	similac newborn iq	all_crop_data/abbott/similac_1/similac_newborn_iq/0015.jpg
676	similac 1 đổ kháng hmo total comfort abbott sức net mới tummi 360 g prộ sản phẩm trẻ 0-12 trí	abbott	similac 1	similac total comfort	all_crop_data/abbott/similac_1/similac_total_comfort/0048.jpg
662	po thiển mo similac similac similac similac plus carotenoid vitads (mfg) hướng chuẩn nucleotid pyridoxin kiểm	abbott	similac 1	similac newborn iq	all_crop_data/abbott/similac_1/similac_newborn_iq/0039.jpg
1226	3 equispir bellamy's toddler organic milk ogganic dr	bellamyorganic	organic fomula	bellamys organic toddler milk drink	all_crop_data/bellamyorganic/organic_fomula/bellamys_organic_toddler_milk_drink/0076.jpg
1159	4 equinutri 7 junior organic bellamy's drink milk organic years 3	bellamyorganic	organic fomula	bellamys organic junior milk drink	all_crop_data/bellamyorganic/organic_fomula/bellamys_organic_junior_milk_drink/0030.jpg
1022	2 organic follow-on formula bellamy's 6	bellamyorganic	organic fomula	bellamys organic followon formula	all_crop_data/bellamyorganic/organic_fomula/bellamys_organic_followon_formula/xcxc.jpg
1264	3 lamy's ganic feted my's s iic s orge organic ler drink b b drink org	bellamyorganic	organic fomula	bellamys organic toddler milk drink	all_crop_data/bellamyorganic/organic_fomula/bellamys_organic_toddler_milk_drink/0033.jpg
1326	2 blackmores follow-on formula entle months from 12 australia 6 bros australian milk made in triển nướng oatcodsuspords premium	blackmores	blackmores fomula	blackmores follow-on formula 2	all_crop_data/blackmores/blackmores_fomula/blackmores_follow-on_formula_2/0005.jpg
1322	2 blackmores follow-on formula from months 12 6 orgedic mon 900g mt hơn premium lumin a nueaaa	blackmores	blackmores fomula	blackmores follow-on formula 2	all_crop_data/blackmores/blackmores_fomula/blackmores_follow-on_formula_2/0008.jpg
1398	1 slackmores newborn formula beri beri	blackmores	blackmores fomula	blackmores newborn formula 1	all_crop_data/blackmores/blackmores_fomula/blackmores_newborn_formula_1/0001.jpg
1377	1 blackmore newborn formula mebethu months .con fron bình tò australia 6 tiếi con pregius trên	blackmores	blackmores fomula	blackmores newborn formula 1	all_crop_data/blackmores/blackmores_fomula/blackmores_newborn_formula_1/0026.jpg
1470	3 bởi goản austra todd rinage gặt goat australian 800g made	bubs australia	bubs organic goat milk	bubs organic goat milk toddler drink 3	all_crop_data/bubs_australia/bubs_organic_goat_milk/bubs_organic_goat_milk_toddler_drink_3/0019.jpg
1422	3 bust austrat goát toddl 100g ad	bubs australia	bubs organic goat milk	bubs organic goat milk toddler drink 3	all_crop_data/bubs_australia/bubs_organic_goat_milk/bubs_organic_goat_milk_toddler_drink_3/0067.jpg
1447	3 bubs australian milk goat drink toddler nutritionally gentle naturally gold aus tealian balanc 800g prebiotic 800g	bubs australia	bubs organic goat milk	bubs organic goat milk toddler drink 3	all_crop_data/bubs_australia/bubs_organic_goat_milk/bubs_organic_goat_milk_toddler_drink_3/0025.jpg
1441	3 bubs 12- 36 goat australian milk a2 drink toddler goat gos	bubs australia	bubs organic goat milk	bubs organic goat milk toddler drink 3	all_crop_data/bubs_australia/bubs_organic_goat_milk/bubs_organic_goat_milk_toddler_drink_3/xcvdsf.jpg
1772	aptamil 2 gold+ 1- pronutra+ promuumifo nutricia helps lay months 6-12 foundations for your produch austra progress ipy the & didecsce	danone	aptamil gold	apta gold 2	all_crop_data/danone/aptamil_gold/apta_gold_2/0042.jpg
1691	3 aptamil premilm o	danone	aptamil	aptamil 3	all_crop_data/danone/aptamil/aptamil_3/0022.jpg
1858	nutricio nutrione nutrinion aptamil oriffrs orink nutri nutri lược rikks on tripn hungry milk 1 unique	danone	aptamil hungry bb	aptamil hungry bb milk formula	all_crop_data/danone/aptamil_hungry_bb/aptamil_hungry_bb_milk_formula/0015.jpg
1674	3 aptamil proces advance pronutra công system daaty our support immune vitamin milk normal function unique	danone	aptamil	aptamil 3	all_crop_data/danone/aptamil/aptamil_3/0058.jpg
1912	gold bội sữa	f99foods	sua	sua non goldilac grow cho tre 0-10 tuoi	all_crop_data/f99foods/sua/sua_non_goldilac_grow_cho_tre_0-10_tuoi/0045.jpg
1887	goldilac 4 grow tổ yến sữa dưỡng uuyệt non cho diện của trẻ nguồn triển toàn sự phát cho klt của solmulas sua.ung	f99foods	sua	sua non goldilac grow cho tre 0-10 tuoi	all_crop_data/f99foods/sua/sua_non_goldilac_grow_cho_tre_0-10_tuoi/0040.jpg
1916	goldilac grow tổ yến sữa non igg usa sức yếu trẻ của diện triển cho cho	f99foods	sua	sua non goldilac grow cho tre 0-10 tuoi	all_crop_data/f99foods/sua/sua_non_goldilac_grow_cho_tre_0-10_tuoi/0050.jpg
1937	goldilac grow sữa yến tổ non igg yêu usa klt cho nguồn dưỡng việt con sức	f99foods	sua	sua non goldilac grow cho tre 0-10 tuoi	all_crop_data/f99foods/sua/sua_non_goldilac_grow_cho_tre_0-10_tuoi/0085.jpg
2057	tò mò tò 1	friesland campina dutch lady	dutch baby	dutch baby to mo gold	all_crop_data/friesland_campina_dutch_lady/dutch_baby/dutch_baby_to_mo_gold/sdfsd.jpg
2055	mò tò gold lady dutch chất xơ dha nutri gold com on for inagite	friesland campina dutch lady	dutch baby	dutch baby to mo gold	all_crop_data/friesland_campina_dutch_lady/dutch_baby/dutch_baby_to_mo_gold/0009.jpg
2209	2 friso gold	friesland campina dutch lady	friso	frisolac gold 2	all_crop_data/friesland_campina_dutch_lady/friso/frisolac_gold_2/0037.jpg
